Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/07/2025,04/08/2025,AMAZON MKTPL*KA1LG3R23,Shopping,Sale,-143.94,
04/06/2025,04/08/2025,SALLY BEAUTY #0802,Shopping,Sale,-25.92,
04/06/2025,04/08/2025,TRADER JOE S #303,Groceries,Sale,-86.91,
04/07/2025,04/07/2025,PAYPAL *CHEWY INC,Shopping,Sale,-22.73,
04/07/2025,04/07/2025,AGODA.COM FIELD STAT,Travel,Sale,-257.66,
04/06/2025,04/07/2025,PAYPAL *CHEWY INC,Shopping,Sale,-151.67,
04/07/2025,04/07/2025,TARGET.COM  *,Shopping,Sale,-6.73,
04/03/2025,04/06/2025,MICRO CENTER #181 RETAIL,Shopping,Sale,-65.48,
04/05/2025,04/06/2025,TARGET.COM,Shopping,Sale,-31.58,
04/02/2025,04/04/2025,FINN MCCOOLS BAR  GRILL,Food & Drink,Sale,-20.00,
04/01/2025,04/03/2025,PUBLIC WORKS-PRKG METR,Travel,Sale,-1.00,
04/01/2025,04/03/2025,TST*QUINCE COFFEE,Food & Drink,Sale,-12.28,
04/01/2025,04/03/2025,PUBLIC WORKS-PRKG METR,Travel,Sale,-1.00,
04/01/2025,04/03/2025,SHELL OIL 57443811203,Gas,Sale,-30.09,
04/01/2025,04/03/2025,TST*CITYO MAKEBELIEVE,Food & Drink,Sale,-16.00,
04/01/2025,04/03/2025,TST*VOODOO DOUGHNUT - DE,Food & Drink,Sale,-2.46,
04/01/2025,04/02/2025,SP MINDS EYE CRYSTALS,Shopping,Sale,-6.07,
